X_true_mm,Y_true_mm,Z_true_mm,X_pred_mm,Y_pred_mm,Z_pred_mm,pos_err_mm,ang_err_deg
68.48084,-243.49617,493.18433,69.021805,-245.25546,493.59818,1.0891925,1.5618802
-115.10664,163.88147,218.01237,-116.39466,162.83733,215.2457,1.8622326,9.265704
-229.51324,-1.8783448,475.37183,-229.23091,-2.7740207,472.72992,1.618808,4.008371
-241.73619,-32.04097,283.85315,-240.55246,-32.57871,283.49966,0.777889,1.2224321
156.63512,50.897358,223.36612,162.66557,44.74105,228.07356,5.6694074,13.087143
206.37779,175.01411,387.39374,206.44751,172.97992,385.44034,1.6287602,2.98065
53.31789,-104.369644,468.87094,50.587082,-103.0744,469.88397,1.8403983,0.95515597
114.748276,-116.241516,309.9247,111.1468,-112.99549,314.84125,3.9866292,9.464215
21.812494,-225.2529,303.98627,27.048168,-225.9041,305.91104,3.2424836,1.7259222
217.53621,-116.80045,278.71085,215.72272,-119.354454,277.77118,1.8880895,3.1692395
157.92679,-216.89407,293.37415,157.65715,-216.99554,294.0177,0.40708873,15.689256
-248.63075,-229.22076,220.25952,-249.9915,-227.11752,221.63712,1.6505579,8.450641
178.70213,26.365282,351.58133,176.50896,27.883694,352.07217,1.5659422,2.8883018
-233.20721,-158.08257,302.47043,-234.89291,-157.44643,299.91528,1.8050874,2.9734542
114.82772,-212.87114,249.84268,111.45231,-211.26476,251.86586,2.454053,2.598934
-162.17218,208.35736,416.71106,-158.53311,209.09653,418.98203,2.513064,1.2122505
181.58945,-175.63306,467.97116,181.61493,-176.09071,466.6611,0.8013224,2.2041054
20.730612,-202.58461,442.14633,19.639988,-201.01367,440.76364,1.3624904,0.84996694
-100.14405,235.33904,240.66396,-100.57257,237.90512,238.63518,1.9047631,11.776149
-38.65639,83.48348,474.062,-38.222095,85.396614,473.08853,1.2644299,1.3098224
-235.84016,112.87702,322.64243,-233.03102,113.477516,322.83667,1.6622885,1.3898928
-187.85835,31.602,474.37613,-187.79778,31.991814,473.76672,0.41912606,4.0023365
85.31221,-214.80515,225.09099,85.21228,-213.12158,229.64668,2.804682,5.6025233
73.59476,170.93863,495.13696,72.040054,172.35095,497.00214,1.6217921,64.67491
57.69256,-40.9855,229.02185,57.58436,-33.965565,226.17165,4.374733,4.230179
-58.16122,-53.766087,423.62744,-58.137535,-52.861485,422.42538,0.86867845,1.275614
248.60497,-182.34538,414.32388,248.79805,-179.94913,416.78232,1.9852141,2.132355
240.41768,-193.39006,427.15024,241.5552,-191.92505,426.6956,1.1025629,2.9411016
92.770996,11.122966,273.3992,94.73443,10.841537,271.57782,1.554745,4.77547
75.22964,34.37179,424.3789,76.686134,34.657814,423.78812,0.92235667,6.4169316
94.223366,9.342771,353.87036,94.71592,11.492987,353.11993,1.3452607,2.1250765
-55.539288,56.56234,214.11482,-51.588226,52.743843,214.3353,3.1749232,2.486348
-182.45175,188.82173,229.25873,-183.96574,187.85289,228.78026,1.0738963,6.805649
110.74417,2.1024225,284.07117,109.32339,3.684279,282.05246,1.692737,0.621102
12.677161,-60.42616,454.23468,12.37145,-60.194717,455.8225,0.94308484,3.1304965
-94.87906,-121.713646,327.67484,-95.62048,-122.207954,327.89267,0.5296235,2.2795708
-7.0823207,-96.576675,282.2132,-6.7552943,-100.07909,284.33813,2.3727055,5.179775
194.74391,30.403526,360.47046,195.12025,33.6152,359.88605,1.8971925,1.7793994
217.02176,147.68617,299.06567,217.92159,145.45108,297.5282,1.6501672,5.4100833
-71.1024,-29.439486,292.42294,-69.66723,-33.181614,290.4071,2.5901642,0.84881276
35.764915,-229.61884,259.46063,41.19296,-231.11064,262.22296,3.6202948,2.5469904
-89.06531,-155.92274,305.38898,-87.88523,-152.60959,308.23547,2.6122868,1.050821
47.150017,-204.67389,249.70805,47.23634,-204.80424,246.34715,1.9425155,1.8762536
-81.04439,-83.32829,372.23126,-79.984245,-82.0754,372.3241,0.9490798,1.478672
-54.190502,92.18833,313.05148,-51.541023,94.28887,312.47647,1.9801217,6.3027887
195.13718,45.357365,211.82742,190.16888,41.74091,211.55559,3.5513647,3.6859925
-136.4212,81.06379,264.83615,-132.87611,82.74744,265.09674,2.2708468,1.194789
61.593575,-22.702435,343.52383,60.15759,-23.549833,341.7167,1.4196073,1.0022095
-207.99232,-195.10973,283.40845,-208.66786,-196.68204,282.2084,1.2067333,7.5477724
166.32207,-101.87202,464.7003,165.7876,-100.16464,463.3275,1.3019587,6.6823187
143.54916,5.48024,217.47147,138.52374,5.716663,214.81862,3.283715,4.9582844
-130.31528,-1.4175174,394.378,-133.60275,-3.1837044,394.16434,2.1581287,3.1157038
188.24213,-128.16931,458.29565,187.24385,-130.85893,457.39246,1.7365083,0.6748921
-220.71599,162.65077,476.24274,-217.70372,160.79825,477.10068,2.1009257,0.8039381
-81.94147,-33.343334,345.2613,-81.90398,-36.400753,343.81906,1.9518574,1.6953593
-174.86028,172.72806,320.93103,-173.48271,172.83876,319.44104,1.1733154,2.38621
-24.830317,-117.253685,210.69536,-28.85139,-115.25724,209.13405,2.7442377,13.361325
148.16214,220.9698,339.39383,149.60193,220.88757,336.20862,2.0186896,2.6616523
-134.6789,-194.07132,394.97095,-138.32579,-190.41606,397.4606,3.309539,2.3720086
-223.98935,134.59125,301.46658,-222.98695,135.83157,300.75174,1.008994,4.187433
-47.72408,-239.90677,248.5223,-45.5297,-236.509,247.76048,2.376304,18.255455
-150.74348,-131.83966,341.1868,-150.03035,-132.49976,342.03357,0.7441569,2.5620654
-204.62347,185.27666,248.6956,-205.52888,181.55951,250.44269,2.4282548,3.8519735
40.16619,-74.9475,367.3803,40.975952,-75.174286,369.81784,1.4887018,2.3821824
-100.65193,216.23975,337.09882,-99.13196,217.17131,336.9719,1.0318658,0.49592295
85.99744,214.70851,498.44217,86.46783,214.45024,498.47165,0.31029,0.93931717
-150.24228,150.09628,248.86864,-152.92838,149.40663,251.87173,2.3600373,5.247001
221.05655,-51.947277,390.56378,221.24623,-51.543934,391.13364,0.41769186,3.5424056
-67.444916,179.13425,259.82462,-69.26894,180.72783,264.71637,3.151499,2.0426624
-197.25237,-21.447832,325.5414,-198.47658,-24.248491,326.22333,1.8080742,3.0169015
64.55407,-186.91391,424.23135,64.63805,-185.9271,425.7276,1.0359555,1.5349648
213.57727,175.97919,349.14804,213.88457,175.94083,346.2851,1.6625643,5.0257096
-29.811422,158.12335,308.20975,-29.787136,154.96077,304.4878,2.8198972,4.0444617
227.29524,-182.21729,466.74,226.88437,-182.9365,466.6563,0.480652,1.9002414
-0.052093156,183.26326,461.63885,-0.035852194,181.4249,461.87082,1.0698367,1.8227496
-37.38569,9.481527,314.75873,-36.985756,12.068242,313.4768,1.6826925,2.983974
60.106724,121.79538,228.39891,61.264057,121.45782,227.53923,0.8548721,2.6969938
247.54825,-115.91199,302.8599,251.21877,-110.24205,305.7312,4.237345,3.3265784
224.47183,-142.26926,255.98532,224.63467,-140.84619,255.68268,0.8452267,9.950493
-19.97743,174.15642,423.46167,-15.061732,174.25684,422.9389,2.854672,3.2483382
128.86443,50.1069,391.56796,131.48955,49.617954,390.54504,1.6509286,0.94063896
-1.2886523,-176.14726,351.543,-2.7175033,-175.03757,348.77142,1.9109048,0.82776475
14.65608,-67.06496,204.91235,12.590017,-67.18552,205.99591,1.3487335,5.174254
142.89285,179.51791,489.82767,142.21625,177.72188,489.67844,1.1114268,1.1038605
-42.672077,-15.858209,204.04025,-38.722767,-15.090681,201.33171,2.8001397,9.463132
117.24178,-81.573555,358.23486,118.764626,-80.61676,358.3174,1.0394422,1.7308377
105.57144,-79.52306,329.49332,105.29138,-83.34554,332.40924,2.7804313,1.9651374
216.02983,162.3221,278.56827,215.9021,159.72737,277.56824,1.6071696,1.0692011
-192.53369,-22.850485,466.9991,-193.84206,-20.585722,468.1563,1.6512696,1.1898639
114.50755,224.17674,302.91812,113.850334,221.30821,303.57202,1.7404969,54.810246
213.71196,-93.899925,369.53226,213.1449,-93.33274,371.043,0.9875221,1.010733
233.9631,128.24017,239.16878,232.5522,130.67947,239.37416,1.6312592,4.7999043
-242.64685,-107.147255,215.73169,-242.96904,-106.54055,215.05875,0.55520236,3.5616672
181.82005,133.9194,452.06763,179.7763,132.77698,452.46213,1.3708475,3.4640877
240.59752,-241.20102,238.66077,241.7732,-238.68391,237.25858,1.7966793,8.24371
228.60509,-185.08951,240.57607,230.7901,-187.57536,239.47803,2.0132432,3.6292653
-175.618,-120.37155,397.05182,-175.59161,-121.88071,398.42847,1.1794639,1.9495211
236.3144,185.04599,264.47052,237.97,185.11725,264.19925,0.969477,27.439997
194.96777,-88.75081,434.26196,194.93533,-84.83358,436.51917,2.6102805,3.5273628
161.18692,-8.237229,222.39735,161.48004,-6.749759,219.23648,2.0239902,7.6540594
-10.006039,-196.47774,209.3546,-5.212307,-200.19391,209.00056,3.5078547,3.706724
-133.81354,33.33914,313.78378,-133.23044,32.819862,313.64212,0.4581573,1.416559
150.94028,-202.00273,460.0881,151.70363,-201.10876,461.78113,1.1899875,1.4352098
211.76508,-179.19884,240.33917,209.55516,-178.8544,239.32042,1.4189456,2.4585037
-116.93487,150.4862,201.58669,-108.4654,144.09486,205.76453,6.5837045,5.969747
19.467203,-128.04486,344.62567,18.250864,-129.59134,341.12027,2.3208416,2.054123
-28.623585,-219.37315,334.66605,-31.330448,-219.69905,334.30927,1.5875149,3.3882148
215.50865,50.91244,331.39005,215.57822,51.701122,329.7582,1.047178,2.517521
-229.74464,-176.74991,268.95526,-230.60703,-176.66183,267.04245,1.2124776,54.909424
116.0031,-223.59164,413.0845,113.93328,-220.93097,415.74515,2.4794059,19.309502
57.186623,165.27615,455.49774,55.973743,163.93109,454.89633,1.1018109,1.6992072
-235.8173,-51.40859,336.17264,-236.413,-51.545326,331.4196,2.7667696,0.95287067
109.609886,182.73755,477.77255,108.81184,179.86609,479.57968,2.0122857,5.3605204
-242.00414,122.01574,415.0069,-239.85895,121.08637,414.7555,1.3575414,2.197954
128.9755,-149.51799,223.03491,130.61028,-145.19283,219.16486,3.4812305,3.1252878
6.3793616,-207.59435,482.13132,3.2365165,-204.68149,482.9565,2.519468,4.0157475
214.55211,-164.32138,317.86694,214.075,-163.99388,323.2716,3.13822,1.4400192
